年月日,平均気温(℃),最高気温(℃),最低気温(℃)
2024/5/25,19.4,23.5,15.9
2024/5/26,19.7,25.1,14.1
2024/5/27,21.9,23.8,18.2
2024/5/28,23.9,25.9,22.3
2024/5/29,20.1,23.9,14.5
2024/5/30,20.7,26.1,14
2024/5/31,18.2,20.5,15.8
2024/6/1,19.2,24,16.8
2024/6/2,18.6,23.9,16.5
2024/6/3,18.5,22.8,16.1
2024/6/4,18.4,23.3,14.6
2024/6/5,19.2,24.7,14.1
2024/6/6,19.8,25.4,13.2
2024/6/7,20.8,25.8,15
2024/6/8,20.8,26.7,14.1
2024/6/9,20.9,24.4,15.7
2024/6/10,20,23.4,17
2024/6/11,22,27.7,16.1
2024/6/12,22.8,28.5,18.1
2024/6/13,20.5,24.7,17
2024/6/14,23.9,31,16.4
2024/6/15,22.8,27.5,17.2
2024/6/16,23.1,28,19.8
2024/6/17,24,29.6,19.8
2024/6/18,19.1,22.3,18.3
2024/6/19,22.2,28.8,16.4
2024/6/20,22.9,28.8,16.1
2024/6/21,19.9,22.9,17.7
2024/6/22,23,28.9,15.2
2024/6/23,22.2,24.9,19.9
2024/6/24,26.5,34,21.9
2024/6/25,26.6,31.3,22.6
